"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","AC wiring loss | (kW)","Absolute air mass","Array DC power | (kW)","Array DC power loss due to snow | (kW)","Array POA beam radiation after shading and soiling | (kW)","Array POA front-side beam radiation nominal | (kW)","Array POA front-side total radiation after cover | (kW)","Array POA front-side total radiation after shading and soiling | (kW)","Array POA front-side total radiation after shading only | (kW)","Array POA front-side total radiation nominal | (kW)","Array POA radiation total after cover | (kW)","Array POA rear-side total radiation after cover | (kW)","Inverter DC input voltage at MPPT 1 | (V)","Inverter clipping loss AC power limit | (kW)","Inverter clipping loss DC MPPT voltage limits | (kW)","Inverter efficiency | (%)","Inverter night time loss | (kW)","Inverter power consumption loss | (kW)","Inverter thermal derate loss | (kW)","Inverter total power loss | (kW)","Irradiance DHI from weather file | (W/m2)","Irradiance DNI from weather file | (W/m2)","Irradiance GHI calculated | (W/m2)","Irradiance GHI from weather file | (W/m2)","Subarray 1 Angle of incidence | (deg)","Subarray 1 Angle of incidence Modifier | (0-1)","Subarray 1 Axis rotation for 1 axis trackers | (deg)","Subarray 1 Axis rotation ideal for 1 axis trackers | (deg)","Subarray 1 Cell temperature | (C)","Subarray 1 External shading and soiling beam irradiance factor | (frac)","Subarray 1 Module efficiency | (%)","Subarray 1 Open circuit voltage | (V)","Subarray 1 Operating voltage | (V)","Subarray 1 POA front beam irradiance after shading and soiling | (W/m2)","Subarray 1 POA front diffuse irradiance after shading and soiling | (W/m2)","Subarray 1 POA total front irradiance after module cover | (W/m2)","Subarray 1 POA total front irradiance after shading and soiling | (W/m2)","Subarray 1 POA total front irradiance after shading only | (W/m2)","Subarray 1 POA total front irradiance nominal | (W/m2)","Subarray 1 POA total irradiance after module cover | (W/m2)","Subarray 1 POA total rear irradiance after module cover | (W/m2)","Subarray 1 Partial external shading DC factor | (frac)","Subarray 1 Self-shading linear beam irradiance factor | (frac)","Subarray 1 Self-shading non-linear DC factor | (frac)","Subarray 1 Self-shading non-linear ground diffuse irradiance factor | (frac)","Subarray 1 Self-shading non-linear sky diffuse irradiance factor | (frac)","Subarray 1 Short circuit current | (A)","Subarray 1 Soiling beam irradiance factor | (frac)","Subarray 1 Surface azimuth | (deg)","Subarray 1 Surface tilt | (deg)","Sun altitude angle | (deg)","Sun azimuth angle | (deg)","Sun position time | (hour)","Sun up over horizon | (0/1/2/3)","Sun zenith angle | (deg)","Transformer load loss | (kW)","Transformer no load loss | (kW)","Transformer total loss | (kW)","Transmission loss | (kW)","Weather file albedo","Weather file ambient temperature | (C)","Weather file snow depth | (cm)","Weather file wind speed | (m/s)"
"Jan 1, 12:00 am",0.643568,-0.0009999,-0.0009999,1,1,0.642568,0.642568,0,0,0,-0.0009999,0,0,0,-0.643568,-0.643568,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,7,nan,1.5
"Jan 1, 01:00 am",0.534318,-0.0009999,-0.0009999,1,1,0.533318,0.533318,0,0,0,-0.0009999,0,0,0,-0.534318,-0.534318,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 02:00 am",0.500238,-0.0009999,-0.0009999,1,1,0.499238,0.499238,0,0,0,-0.0009999,0,0,0,-0.500238,-0.500238,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 03:00 am",0.498171,-0.0009999,-0.0009999,1,1,0.497171,0.497171,0,0,0,-0.0009999,0,0,0,-0.498171,-0.498171,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 04:00 am",0.507719,-0.0009999,-0.0009999,1,1,0.506719,0.506719,0,0,0,-0.0009999,0,0,0,-0.507719,-0.507719,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.6
"Jan 1, 05:00 am",0.567399,-0.0009999,-0.0009999,1,1,0.566399,0.566399,0,0,0,-0.0009999,0,0,0,-0.567399,-0.567399,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.6
"Jan 1, 06:00 am",0.796969,-0.0009999,-0.0009999,1,1,0.795969,0.795969,0,0,0,-0.0009999,0,0,0,-0.796969,-0.796969,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,6,nan,1.5
"Jan 1, 07:00 am",1.09969,-0.0009999,-0.0009999,1,1,1.09869,1.09869,0,0,0,-0.0009999,0,0,0,-1.09969,-1.09969,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,7,nan,1.4
"Jan 1, 08:00 am",0.505525,0.523195,0.523195,1,1,1.02872,1.02872,0,0,0,0.523195,0,0,0,-0.505525,-0.505525,0,0,0,0.0052848,10.8498,0.557115,0,3.4584,3.64042,3.46474,4.32718,4.55492,4.55492,3.46474,0,397.846,0,0,94.8601,0,0.0164265,0,0.0286354,39,638,88.4718,nan,75.529,0.800692,0,0,15.1439,0.95,13.473,453.519,397.846,151.458,38.0477,151.736,189.506,199.48,199.48,151.736,0,0,0,0,0,0,0.777974,0.95,180,20,4.4473,121.275,8,1,85.5527,0,0,0,0,0.2,11,nan,1.9
"Jan 1, 09:00 am",0,0.877768,1.74194,1,1,0.877768,0.877768,0,0,0,0.877768,0,0,0.864167,0.864167,0.864167,0,0,0,0.0175953,3.78567,1.81692,0,8.1468,8.57557,9.12016,9.79906,10.3148,10.3148,9.12016,0,397.811,0,0,96.8416,0,0.0102877,0,0.0573852,56,833,263.888,nan,63.2015,0.930718,0,0,24.8739,0.95,19.4033,460.278,397.811,356.784,72.36,399.412,429.144,451.73,451.73,399.412,0,0,0,0,0,0,2.54212,0.95,180,20,14.4518,130.784,9,1,75.5482,0,0,0,0,0.2,15,nan,2.4
"Jan 1, 10:00 am",0,0.871753,2.56361,1,2,0.871753,0.871753,0,0,0,0.871753,0,0,1.69186,1.69186,1.69186,0,0,0,0.025895,2.43415,2.67291,0,12.2791,12.9254,13.7616,14.1591,14.9044,14.9044,13.7616,0,388.096,0,0,96.8795,0,0.00606756,0,0.0834085,66,918,425.604,nan,51.9301,0.971924,0,0,34.1858,0.95,19.7548,455.357,388.096,537.757,82.3335,602.681,620.09,652.727,652.727,602.681,0,0,0,0,0,0,3.84224,0.95,180,20,23.0619,142.161,10,1,66.9381,0,0,0,0,0.2,20,nan,2.5
"Jan 1, 11:00 am",0,0.882123,3.07205,1,2,0.882123,0.882123,0,0,0,0.882123,0,0,2.18993,2.18993,2.18993,0,0,0,0.0310308,1.93905,3.20528,0,14.7378,15.5135,16.8589,17.1208,18.0219,18.0219,16.8589,0,382.472,0,0,96.8115,0,0.00348904,0,0.1022,81,925,536.877,nan,42.7358,0.984706,0,0,39.007,0.95,19.5915,452.674,382.472,645.433,104.359,738.325,749.792,789.255,789.255,738.325,0,0,0,0,0,0,4.68166,0.95,180,20,29.5274,155.765,11,1,60.4726,0,0,0,0,0.2,23,nan,2.9
"Jan 1, 12:00 pm",0,0.862599,3.28673,1,2,0.862599,0.862599,0,0,0,0.862599,0,0,2.42413,2.42413,2.42413,0,0,0,0.0331993,1.75192,3.43084,0,16.1501,17.0002,18.2946,18.5007,19.4745,19.4745,18.2946,0,378.692,0,0,96.7672,0,0.00240485,0,0.110911,84,935,594.371,nan,37.2248,0.98886,0,0,42.0071,0.95,19.406,450.259,378.692,707.285,102.942,801.201,810.227,852.871,852.871,801.201,0,0,0,0,0,0,5.06547,0.95,180,20,33.0828,171.38,12,1,56.9172,0,0,0,0,0.2,25,nan,3
"Jan 1, 01:00 pm",0,0.835624,3.23728,1,2,0.835624,0.835624,0,0,0,0.835624,0,0,2.40166,2.40166,2.40166,0,0,0,0.0326998,1.74792,3.37906,0,15.9718,16.8124,18.0688,18.2702,19.2317,19.2317,18.0688,0,377.619,0,0,96.7722,0,0.00265039,0,0.109071,82,923,586.981,nan,37.0879,0.988977,0,0,42.7952,0.95,19.3543,449.04,377.619,699.473,100.656,791.31,800.129,842.241,842.241,791.31,0,0,0,0,0,0,5.004,0.95,180,20,33.1689,187.867,13,1,56.8311,0,0,0,0,0.2,26,nan,3
"Jan 1, 02:00 pm",0,0.831357,2.92413,1,2,0.831357,0.831357,0,0,0,0.831357,0,0,2.09277,2.09277,2.09277,0,0,0,0.0295367,1.92476,3.05065,0,14.39,15.1474,16.1884,16.4263,17.2908,17.2908,16.1884,0,379.041,0,0,96.821,0,0.00421912,0,0.096981,72,898,517.88,nan,42.3775,0.985517,0,0,41.4893,0.95,19.4347,448.798,379.041,630.202,89.1758,708.958,719.378,757.239,757.239,708.958,0,0,0,0,0,0,4.49857,0.95,180,20,29.7704,203.558,14,1,60.2296,0,0,0,0,0.2,25,nan,2.5
"Jan 1, 03:00 pm",0,0.891545,2.2849,1,3,0.891545,0.891545,0,0,0,0.891545,0,0,1.39336,1.39336,1.39336,0,0,0,0.0230798,2.39871,2.38263,0,10.9931,11.5717,12.4765,12.8259,13.501,13.501,12.4765,0,381.399,0,0,96.8672,0,0.00742206,0,0.0746418,61,813,384.236,nan,51.4395,0.972753,0,0,38.7459,0.95,19.4398,447.793,381.399,481.437,80.2668,546.399,561.704,591.267,591.267,546.399,0,0,0,0,0,0,3.48842,0.95,180,20,23.4272,217.272,15,1,66.5728,0,0,0,0,0.2,23,nan,1.5
"Jan 1, 04:00 pm",0,1.11959,1.30067,1,3,1.11959,1.11959,0,0,0,1.11959,0,0,0.181077,0.181077,0.181077,0,0,0,0.013138,3.67694,1.35982,0,6.14108,6.4643,6.95354,7.44423,7.83603,7.83603,6.95354,0,389.979,0,0,96.6164,0,0.0124195,0,0.0460111,42,616,200.422,nan,62.6402,0.934084,0,0,28.6872,0.95,19.1155,450.701,389.979,268.945,57.0704,304.526,326.015,343.174,343.174,304.526,0,0,0,0,0,0,1.94222,0.95,180,20,14.9027,228.754,16,1,75.0973,0,0,0,0,0.2,19,nan,1.2
"Jan 1, 05:00 pm",1.53911,-0.0009999,-0.0009999,1,3,1.53811,1.53811,0,0,0,-0.0009999,0,0,0,-1.53911,-1.53911,0,0,0,9.9e-06,9.96481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,74.9415,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,180,20,4.94336,238.344,17,1,85.0566,0,0,0,0,0.2,16,nan,1.4
"Jan 1, 06:00 pm",1.81279,-0.0009999,-0.0009999,1,3,1.81179,1.81179,0,0,0,-0.0009999,0,0,0,-1.81279,-1.81279,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,14,nan,1.5
"Jan 1, 07:00 pm",1.76382,-0.0009999,-0.0009999,1,3,1.76282,1.76282,0,0,0,-0.0009999,0,0,0,-1.76382,-1.76382,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,12,nan,1.6
"Jan 1, 08:00 pm",1.63598,-0.0009999,-0.0009999,1,1,1.63498,1.63498,0,0,0,-0.0009999,0,0,0,-1.63598,-1.63598,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,12,nan,1.7
"Jan 1, 09:00 pm",1.49487,-0.0009999,-0.0009999,1,1,1.49387,1.49387,0,0,0,-0.0009999,0,0,0,-1.49487,-1.49487,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,11,nan,1.9
"Jan 1, 10:00 pm",1.21091,-0.0009999,-0.0009999,1,1,1.20991,1.20991,0,0,0,-0.0009999,0,0,0,-1.21091,-1.21091,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,10,nan,2.1
"Jan 1, 11:00 pm",0.923429,-0.0009999,-0.0009999,1,1,0.922429,0.922429,0,0,0,-0.0009999,0,0,0,-0.923429,-0.923429,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,10,nan,2.2
"Jan 2, 12:00 am",0.636994,-0.0009999,-0.0009999,1,1,0.635994,0.635994,0,0,0,-0.0009999,0,0,0,-0.636994,-0.636994,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,10,nan,2
"Jan 2, 01:00 am",0.528219,-0.0009999,-0.0009999,1,1,0.527219,0.527219,0,0,0,-0.0009999,0,0,0,-0.528219,-0.528219,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,9,nan,1.8
"Jan 2, 02:00 am",0.48614,-0.0009999,-0.0009999,1,1,0.48514,0.48514,0,0,0,-0.0009999,0,0,0,-0.48614,-0.48614,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,9,nan,1.8
"Jan 2, 03:00 am",0.48123,-0.0009999,-0.0009999,1,1,0.48023,0.48023,0,0,0,-0.0009999,0,0,0,-0.48123,-0.48123,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,8,nan,1.7
"Jan 2, 04:00 am",0.488741,-0.0009999,-0.0009999,1,1,0.487741,0.487741,0,0,0,-0.0009999,0,0,0,-0.488741,-0.488741,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,8,nan,1.7
"Jan 2, 05:00 am",0.544699,-0.0009999,-0.0009999,1,1,0.543699,0.543699,0,0,0,-0.0009999,0,0,0,-0.544699,-0.544699,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,8,nan,1.6
"Jan 2, 06:00 am",0.750608,-0.0009999,-0.0009999,1,1,0.749608,0.749608,0,0,0,-0.0009999,0,0,0,-0.750608,-0.750608,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,8,nan,1.6
"Jan 2, 07:00 am",1.04356,-0.0009999,-0.0009999,1,1,1.04256,1.04256,0,0,0,-0.0009999,0,0,0,-1.04356,-1.04356,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,9,nan,1.6
"Jan 2, 08:00 am",0.454248,0.521573,0.521573,1,1,0.975821,0.975821,0,0,0,0.521573,0,0,0,-0.454248,-0.454248,0,0,0,0.00526842,10.9068,0.555446,0,3.25354,3.42478,3.48524,4.3121,4.53906,4.53906,3.48524,0,396.889,0,0,94.8502,0,0.0164189,0,0.0286042,41,603,87.4501,nan,75.5975,0.808246,0,0,15.82,0.95,13.4796,452.594,396.889,142.487,46.3592,152.634,188.846,198.785,198.785,152.634,0,0,0,0,0,0,0.777652,0.95,180,20,4.41796,121.141,8,1,85.582,0,0,0,0,0.2,12,nan,2.3
"Jan 2, 09:00 am",0,0.822569,1.7127,1,1,0.822569,0.822569,0,0,0,0.822569,0,0,0.890132,0.890132,0.890132,0,0,0,0.0173,3.78876,1.78658,0,7.89794,8.31362,8.97133,9.6385,10.1458,10.1458,8.97133,0,397.662,0,0,96.833,0,0.0104341,0,0.0565809,60,809,261.729,nan,63.2532,0.930781,0,0,24.8809,0.95,19.3972,459.992,397.662,345.885,76.2265,392.893,422.112,444.328,444.328,392.893,0,0,0,0,0,0,2.50062,0.95,180,20,14.4394,130.642,9,1,75.5606,0,0,0,0,0.2,16,nan,2.9
"Jan 2, 10:00 am",0,0.814914,2.56662,1,2,0.814914,0.814914,0,0,0,0.814914,0,0,1.75171,1.75171,1.75171,0,0,0,0.0259255,2.43309,2.67587,0,12.0313,12.6645,13.6964,14.0963,14.8383,14.8383,13.6964,0,390.479,0,0,96.886,0,0.0060654,0,0.0833262,70,900,422.708,nan,51.9564,0.971625,0,0,32.3837,0.95,19.8648,457.573,390.479,526.903,90.4371,599.823,617.34,649.832,649.832,599.823,0,0,0,0,0,0,3.82138,0.95,180,20,23.0726,142.012,10,1,66.9274,0,0,0,0,0.2,19,nan,2.8
"Jan 2, 11:00 am",0,0.829634,3.07167,1,2,0.829634,0.829634,0,0,0,0.829634,0,0,2.24203,2.24203,2.24203,0,0,0,0.0310269,1.93672,3.20478,0,14.6448,15.4156,16.8145,17.0775,17.9763,17.9763,16.8145,0,383.471,0,0,96.8145,0,0.00349368,0,0.102089,83,919,536.467,nan,42.725,0.984605,0,0,38.2439,0.95,19.6381,453.591,383.471,641.359,106.537,736.382,747.896,787.259,787.259,736.382,0,0,0,0,0,0,4.6678,0.95,180,20,29.5666,155.613,11,1,60.4334,0,0,0,0,0.2,22,nan,2.8
"Jan 2, 12:00 pm",0,0.814788,3.29145,1,2,0.814788,0.814788,0,0,0,0.814788,0,0,2.47666,2.47666,2.47666,0,0,0,0.033247,1.74864,3.43574,0,16.1284,16.9773,18.2973,18.5038,19.4777,19.4777,18.2973,0,379.233,0,0,96.7681,0,0.00238201,0,0.111041,85,933,595.239,nan,37.1648,0.98884,0,0,41.602,0.95,19.4305,450.774,379.233,706.333,104.028,801.318,810.361,853.012,853.012,801.318,0,0,0,0,0,0,5.06504,0.95,180,20,33.1532,171.239,12,1,56.8468,0,0,0,0,0.2,24,nan,2.8
"Jan 2, 01:00 pm",0,0.792036,3.23731,1,2,0.792036,0.792036,0,0,0,0.792036,0,0,2.44528,2.44528,2.44528,0,0,0,0.0327001,1.74334,3.37907,0,15.9421,16.7812,18.064,18.2653,19.2267,19.2267,18.064,0,377.78,0,0,96.7726,0,0.00265055,0,0.109055,83,920,587.669,nan,36.9818,0.988977,0,0,42.6832,0.95,19.3595,449.175,377.78,698.174,101.743,791.1,799.918,842.019,842.019,791.1,0,0,0,0,0,0,5.00192,0.95,180,20,33.2678,187.751,13,1,56.7322,0,0,0,0,0.2,25,nan,2.7
"Jan 2, 02:00 pm",0,0.792231,2.90936,1,2,0.792231,0.792231,0,0,0,0.792231,0,0,2.11713,2.11713,2.11713,0,0,0,0.0293875,1.91781,3.03531,0,14.131,14.8748,16.165,16.409,17.2726,17.2726,16.165,0,377.677,0,0,96.8188,0,0.00428799,0,0.0965591,77,880,515.538,nan,42.2462,0.985135,0,0,42.5106,0.95,19.3574,447.47,377.677,618.859,99.7601,707.937,718.619,756.441,756.441,707.937,0,0,0,0,0,0,4.49321,0.95,180,20,29.8902,203.478,14,1,60.1098,0,0,0,0,0.2,24,nan,1.9
"Jan 2, 03:00 pm",0,0.854486,2.25462,1,3,0.854486,0.854486,0,0,0,0.854486,0,0,1.40013,1.40013,1.40013,0,0,0,0.0227739,2.38621,2.35109,0,10.7144,11.2784,12.3301,12.6749,13.342,13.342,12.3301,0,380.842,0,0,96.8652,0,0.00756908,0,0.0737026,66,790,381.757,nan,51.3012,0.972792,0,0,39.1002,0.95,19.4111,447.126,380.842,469.232,85.8585,539.988,555.09,584.306,584.306,539.988,0,0,0,0,0,0,3.44752,0.95,180,20,23.559,217.225,15,1,66.441,0,0,0,0,0.2,22,nan,1.1
"Jan 2, 04:00 pm",0,1.08368,1.28086,1,3,1.08368,1.08368,0,0,0,1.08368,0,0,0.197177,0.197177,0.197177,0,0,0,0.012938,3.64519,1.33929,0,5.929,6.24105,6.8349,7.30865,7.69332,7.69332,6.8349,0,390.744,0,0,96.6031,0,0.012528,0,0.0454944,45,592,198.616,nan,62.5035,0.935179,0,0,27.9976,0.95,19.1762,451.314,390.744,259.657,60.421,299.33,320.078,336.924,336.924,299.33,0,0,0,0,0,0,1.90885,0.95,180,20,15.0396,228.734,16,1,74.9604,0,0,0,0,0.2,18,nan,1
"Jan 2, 05:00 pm",1.50376,-0.0009999,-0.0009999,1,3,1.50276,1.50276,0,0,0,-0.0009999,0,0,0,-1.50376,-1.50376,0,0,0,9.9e-06,9.74677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,74.8124,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,180,20,5.07848,238.343,17,1,84.9215,0,0,0,0,0.2,16,nan,1.2
"Jan 2, 06:00 pm",1.77848,-0.0009999,-0.0009999,1,3,1.77748,1.77748,0,0,0,-0.0009999,0,0,0,-1.77848,-1.77848,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,14,nan,1.3
"Jan 2, 07:00 pm",1.72957,-0.0009999,-0.0009999,1,3,1.72857,1.72857,0,0,0,-0.0009999,0,0,0,-1.72957,-1.72957,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,13,nan,1.3
"Jan 2, 08:00 pm",1.60113,-0.0009999,-0.0009999,1,1,1.60013,1.60013,0,0,0,-0.0009999,0,0,0,-1.60113,-1.60113,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,12,nan,1.4
"Jan 2, 09:00 pm",1.45926,-0.0009999,-0.0009999,1,1,1.45826,1.45826,0,0,0,-0.0009999,0,0,0,-1.45926,-1.45926,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,11,nan,1.5
"Jan 2, 10:00 pm",1.18262,-0.0009999,-0.0009999,1,1,1.18162,1.18162,0,0,0,-0.0009999,0,0,0,-1.18262,-1.18262,0,0,0,9.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0.00099,0,0,0,nan,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,-999,-999,0,0,-999,0,0,0,0,0.2,11,nan,1.6
