"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","Air temperature | ('C)","Wind speed | (m/s)","Wind direction | (deg)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","Pressure | (atm)"
"Feb 11, 04:00 am",0.0623226,0.517452,0.517452,1,-5.499,7.13673,234,1,0.579775,0.579775,0,0,0,0.517452,0,0,0,-0.0623226,-0.0623226,0,0,0,0.758215
"Feb 11, 05:00 am",0,0.639976,0.94256,1,-4.889,8.40913,229,1,0.639976,0.639976,0,0,0,0.639976,0,0,0.302584,0.302584,0.302584,0,0,0,0.759201
"Feb 11, 06:00 am",0,0.853125,1.62068,1,-4.279,9.69166,236,1,0.853125,0.853125,0,0,0,0.853125,0,0,0.767554,0.767554,0.767554,0,0,0,0.760188
"Feb 11, 07:00 am",0.0658872,1.0314,1.0314,1,-4.819,8.62035,236,1,1.09729,1.09729,0,0,0,1.0314,0,0,0,-0.0658872,-0.0658872,0,0,0,0.759003
"Feb 11, 08:00 am",0.34969,0.67277,0.67277,1,-4.999,7.69182,246,1,1.02246,1.02246,0,0,0,0.67277,0,0,0,-0.34969,-0.34969,0,0,0,0.757523
"Feb 11, 09:00 am",0.0170913,0.880761,0.880761,1,-4.619,8.2562,241,1,0.897852,0.897852,0,0,0,0.880761,0,0,0,-0.0170913,-0.0170913,0,0,0,0.756534
"Feb 11, 10:00 am",0,0.899184,2.1578,1,-3.919,11.4042,244,2,0.899184,0.899184,0,0,0,0.899184,0,0,1.25862,1.25862,1.25862,0,0,0,0.756928
"Feb 11, 11:00 am",0,0.878171,2.05817,1,-3.659,10.9826,252,2,0.878171,0.878171,0,0,0,0.878171,0,0,1.18,1.18,1.18,0,0,0,0.756434
"Feb 11, 12:00 pm",0,0.836421,2.00173,1,-4.159,10.7435,269,2,0.836421,0.836421,0,0,0,0.836421,0,0,1.16531,1.16531,1.16531,0,0,0,0.754361
"Feb 11, 01:00 pm",0,0.80532,1.89036,1,-4.459,10.4284,269,2,0.80532,0.80532,0,0,0,0.80532,0,0,1.08504,1.08504,1.08504,0,0,0,0.756435
"Feb 11, 02:00 pm",0,0.800366,1.4789,1,-4.259,9.43313,264,2,0.800366,0.800366,0,0,0,0.800366,0,0,0.678539,0.678539,0.678539,0,0,0,0.757126
"Feb 11, 03:00 pm",0,0.845383,1.48394,1,-4.059,9.44242,258,3,0.845383,0.845383,0,0,0,0.845383,0,0,0.63856,0.63856,0.63856,0,0,0,0.75762
"Feb 11, 04:00 pm",0,1.02639,1.28843,1,-4.119,9.08842,254,3,1.02639,1.02639,0,0,0,1.02639,0,0,0.262041,0.262041,0.262041,0,0,0,0.758607
"Feb 11, 05:00 pm",0.0853549,1.29203,1.29203,1,-4.199,9.08842,256,3,1.37738,1.37738,0,0,0,1.29203,0,0,0,-0.0853549,-0.0853549,0,0,0,0.75999
"Feb 11, 06:00 pm",0.354113,1.29562,1.29562,1,-4.279,9.08842,247,3,1.64973,1.64973,0,0,0,1.29562,0,0,0,-0.354113,-0.354113,0,0,0,0.761373
"Feb 11, 07:00 pm",0.593673,1.12639,1.12639,1,-4.839,8.77327,249,3,1.72006,1.72006,0,0,0,1.12639,0,0,0,-0.593673,-0.593673,0,0,0,0.76325
"Feb 11, 08:00 pm",0.843119,0.807941,0.807941,1,-5.299,8.0264,246,1,1.65106,1.65106,0,0,0,0.807941,0,0,0,-0.843119,-0.843119,0,0,0,0.764435
"Feb 11, 09:00 pm",0.874904,0.625676,0.625676,1,-5.559,7.5389,245,1,1.50058,1.50058,0,0,0,0.625676,0,0,0,-0.874904,-0.874904,0,0,0,0.76404
"Feb 11, 10:00 pm",0.862989,0.347851,0.347851,1,-5.719,6.38141,252,1,1.21084,1.21084,0,0,0,0.347851,0,0,0,-0.862989,-0.862989,0,0,0,0.765918
"Feb 11, 11:00 pm",0.67887,0.257888,0.257888,1,-5.979,5.74014,252,1,0.936758,0.936758,0,0,0,0.257888,0,0,0,-0.67887,-0.67887,0,0,0,0.765918
"Feb 12, 12:00 am",0.40362,0.264476,0.264476,1,-5.999,5.7883,242,1,0.668096,0.668096,0,0,0,0.264476,0,0,0,-0.40362,-0.40362,0,0,0,0.765325
"Feb 12, 01:00 am",0.380289,0.189053,0.189053,1,-5.839,5.23321,239,1,0.569343,0.569343,0,0,0,0.189053,0,0,0,-0.380289,-0.380289,0,0,0,0.765622
"Feb 12, 02:00 am",0.436182,0.0994007,0.0994007,1,-5.459,4.43902,225,1,0.535583,0.535583,0,0,0,0.0994007,0,0,0,-0.436182,-0.436182,0,0,0,0.765522
"Feb 12, 03:00 am",0.400027,0.132896,0.132896,1,-5.279,4.73557,208,1,0.532923,0.532923,0,0,0,0.132896,0,0,0,-0.400027,-0.400027,0,0,0,0.766608
"Feb 12, 04:00 am",0.267603,0.272391,0.272391,1,-5.179,5.84575,206,1,0.539994,0.539994,0,0,0,0.272391,0,0,0,-0.267603,-0.267603,0,0,0,0.767201
"Feb 12, 05:00 am",0.107438,0.495726,0.495726,1,-5.199,7.02267,221,1,0.603164,0.603164,0,0,0,0.495726,0,0,0,-0.107438,-0.107438,0,0,0,0.765917
"Feb 12, 06:00 am",0,0.811306,0.872623,1,-5.219,8.19875,230,1,0.811306,0.811306,0,0,0,0.811306,0,0,0.061317,0.061317,0.061317,0,0,0,0.764731
"Feb 12, 07:00 am",0.324211,0.737369,0.737369,1,-5.119,7.83545,226,1,1.06158,1.06158,0,0,0,0.737369,0,0,0,-0.324211,-0.324211,0,0,0,0.765719
"Feb 12, 08:00 am",0.515658,0.478154,0.478154,1,-4.759,6.95508,220,1,0.993812,0.993812,0,0,0,0.478154,0,0,0,-0.515658,-0.515658,0,0,0,0.764731
"Feb 12, 09:00 am",0.412651,0.460265,0.460265,1,-3.939,6.88834,217,1,0.872916,0.872916,0,0,0,0.460265,0,0,0,-0.412651,-0.412651,0,0,0,0.763841
"Feb 12, 10:00 am",0.15433,0.716767,0.716767,1,-2.519,7.81602,225,2,0.871097,0.871097,0,0,0,0.716767,0,0,0,-0.15433,-0.15433,0,0,0,0.762653
"Feb 12, 11:00 am",0,0.856585,1.8902,1,-1.119,10.447,235,2,0.856585,0.856585,0,0,0,0.856585,0,0,1.03362,1.03362,1.03362,0,0,0,0.761663
"Feb 12, 12:00 pm",0,0.832237,2.28532,1,-0.419,12.217,237,2,0.832237,0.832237,0,0,0,0.832237,0,0,1.45309,1.45309,1.45309,0,0,0,0.759588
"Feb 12, 01:00 pm",0,0.80532,2.37015,1,-0.119,13.3458,239,2,0.80532,0.80532,0,0,0,0.80532,0,0,1.56483,1.56483,1.56483,0,0,0,0.760575
"Feb 12, 02:00 pm",0,0.800366,2.37495,1,-0.019,13.4514,241,2,0.800366,0.800366,0,0,0,0.800366,0,0,1.57459,1.57459,1.57459,0,0,0,0.760477
"Feb 12, 03:00 pm",0,0.845383,2.16042,1,-0.119,11.4516,243,3,0.845383,0.845383,0,0,0,0.845383,0,0,1.31504,1.31504,1.31504,0,0,0,0.760378
"Feb 12, 04:00 pm",0,1.02639,1.7677,1,-0.179,10.1318,244,3,1.02639,1.02639,0,0,0,1.02639,0,0,0.741309,0.741309,0.741309,0,0,0,0.761169
"Feb 12, 05:00 pm",0.233647,1.14373,1.14373,1,-0.939,8.84931,241,3,1.37738,1.37738,0,0,0,1.14373,0,0,0,-0.233647,-0.233647,0,0,0,0.762552
"Feb 12, 06:00 pm",1.02705,0.622684,0.622684,1,-1.699,7.56762,237,3,1.64973,1.64973,0,0,0,0.622684,0,0,0,-1.02705,-1.02705,0,0,0,0.763837
"Feb 12, 07:00 pm",1.00823,0.711834,0.711834,1,-1.819,7.79743,236,3,1.72006,1.72006,0,0,0,0.711834,0,0,0,-1.00823,-1.00823,0,0,0,0.766207
"Feb 12, 08:00 pm",0.861507,0.789553,0.789553,1,-2.079,8.00781,229,1,1.65106,1.65106,0,0,0,0.789553,0,0,0,-0.861507,-0.861507,0,0,0,0.764825
"Feb 12, 09:00 pm",0.672064,0.828516,0.828516,1,-2.179,8.11257,228,1,1.50058,1.50058,0,0,0,0.828516,0,0,0,-0.672064,-0.672064,0,0,0,0.76443
"Feb 12, 10:00 pm",0.316306,0.894534,0.894534,1,-2.339,8.28493,232,1,1.21084,1.21084,0,0,0,0.894534,0,0,0,-0.316306,-0.316306,0,0,0,0.765221
"Feb 12, 11:00 pm",0,0.928196,1.0899,1,-2.759,8.72511,239,1,0.928196,0.928196,0,0,0,0.928196,0,0,0.161705,0.161705,0.161705,0,0,0,0.764727
"Feb 13, 12:00 am",0,0.637174,0.944133,1,-2.959,8.41927,239,1,0.637174,0.637174,0,0,0,0.637174,0,0,0.306959,0.306959,0.306959,0,0,0,0.763049
"Feb 13, 01:00 am",0,0.542013,0.9323,1,-3.059,8.3804,234,1,0.542013,0.542013,0,0,0,0.542013,0,0,0.390287,0.390287,0.390287,0,0,0,0.764728
"Feb 13, 02:00 am",0,0.510906,1.58864,1,-3.199,9.61478,232,1,0.510906,0.510906,0,0,0,0.510906,0,0,1.07774,1.07774,1.07774,0,0,0,0.763543
"Feb 13, 03:00 am",0,0.508145,1.78709,1,-3.199,10.1318,231,1,0.508145,0.508145,0,0,0,0.508145,0,0,1.27895,1.27895,1.27895,0,0,0,0.764432
"Feb 13, 04:00 am",0,0.512526,1.60332,1,-3.199,9.6435,236,1,0.512526,0.512526,0,0,0,0.512526,0,0,1.09079,1.09079,1.09079,0,0,0,0.763642
"Feb 13, 05:00 am",0,0.571803,1.11233,1,-3.119,8.76313,236,1,0.571803,0.571803,0,0,0,0.571803,0,0,0.54053,0.54053,0.54053,0,0,0,0.764234
"Feb 13, 06:00 am",0,0.742598,0.750145,1,-3.039,7.8929,244,1,0.742598,0.742598,0,0,0,0.742598,0,0,0.00754696,0.00754696,0.00754696,0,0,0,0.764827
"Feb 13, 07:00 am",0.501756,0.501714,0.501714,1,-3.199,7.06999,250,1,1.00347,1.00347,0,0,0,0.501714,0,0,0,-0.501756,-0.501756,0,0,0,0.764531
"Feb 13, 08:00 am",0.611197,0.32483,0.32483,1,-3.079,6.24707,256,1,0.936027,0.936027,0,0,0,0.32483,0,0,0,-0.611197,-0.611197,0,0,0,0.762654
"Feb 13, 09:00 am",0.477566,0.341747,0.341747,1,-2.679,6.37211,260,1,0.819313,0.819313,0,0,0,0.341747,0,0,0,-0.477566,-0.477566,0,0,0,0.762259
"Feb 13, 10:00 am",0.168632,0.656656,0.656656,1,-1.759,7.6631,260,2,0.825288,0.825288,0,0,0,0.656656,0,0,0,-0.168632,-0.168632,0,0,0,0.762356
"Feb 13, 11:00 am",0.296151,0.527501,0.527501,1,-1.059,7.21362,263,2,0.823652,0.823652,0,0,0,0.527501,0,0,0,-0.296151,-0.296151,0,0,0,0.759984
"Feb 13, 12:00 pm",0.436785,0.356249,0.356249,1,-0.459,6.48617,262,2,0.793034,0.793034,0,0,0,0.356249,0,0,0,-0.436785,-0.436785,0,0,0,0.758502
"Feb 13, 01:00 pm",0.586704,0.175028,0.175028,1,-0.019,5.15633,270,2,0.761732,0.761732,0,0,0,0.175028,0,0,0,-0.586704,-0.586704,0,0,0,0.760773
"Feb 13, 02:00 pm",0.698881,0.0623593,0.0623593,1,-0.119,4.06643,291,2,0.76124,0.76124,0,0,0,0.0623593,0,0,0,-0.698881,-0.698881,0,0,0,0.760773
"Feb 13, 03:00 pm",0.808324,0,0,1,-0.519,2.75517,334,3,0.808324,0.808324,0,0,0,0,0,0,0,-0.808324,-0.808324,0,0,0,0.75791
"Feb 13, 04:00 pm",0.990474,0,0,1,-0.759,1.8655,31,3,0.990474,0.990474,0,0,0,0,0,0,0,-0.990474,-0.990474,0,0,0,0.759391
