"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","Air temperature | ('C)","Wind speed | (m/s)","Wind direction | (deg)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","Pressure | (atm)"
"Jan 1, 12:00 am",0,0.642568,0.919627,1,-4.479,8.36182,253,1,0.642568,0.642568,0,0,0,0.642568,0,0,0.277059,0.277059,0.277059,0,0,0,0.756534
"Jan 1, 01:00 am",0,0.533318,0.84782,1,-4.279,8.16073,261,1,0.533318,0.533318,0,0,0,0.533318,0,0,0.314502,0.314502,0.314502,0,0,0,0.759497
"Jan 1, 02:00 am",0.0593506,0.439887,0.439887,1,-4.079,6.81145,278,1,0.499238,0.499238,0,0,0,0.439887,0,0,0,-0.0593506,-0.0593506,0,0,0,0.75999
"Jan 1, 03:00 am",0,0.497171,0.515913,1,-3.639,7.13673,312,1,0.497171,0.497171,0,0,0,0.497171,0,0,0.0187425,0.0187425,0.0187425,0,0,0,0.761372
"Jan 1, 04:00 am",0,0.506719,0.906385,1,-3.679,8.31366,321,1,0.506719,0.506719,0,0,0,0.506719,0,0,0.399666,0.399666,0.399666,0,0,0,0.76226
"Jan 1, 05:00 am",0.015837,0.550562,0.550562,1,-3.579,7.28036,325,1,0.566399,0.566399,0,0,0,0.550562,0,0,0,-0.015837,-0.015837,0,0,0,0.76305
"Jan 1, 06:00 am",0.46887,0.3271,0.3271,1,-3.479,6.25721,336,1,0.795969,0.795969,0,0,0,0.3271,0,0,0,-0.46887,-0.46887,0,0,0,0.763741
"Jan 1, 07:00 am",0.624748,0.473942,0.473942,1,-3.679,6.94579,325,1,1.09869,1.09869,0,0,0,0.473942,0,0,0,-0.624748,-0.624748,0,0,0,0.764927
"Jan 1, 08:00 am",0.747502,0.281218,0.281218,1,-3.819,5.92179,323,1,1.02872,1.02872,0,0,0,0.281218,0,0,0,-0.747502,-0.747502,0,0,0,0.765915
"Jan 1, 09:00 am",0.675932,0.201836,0.201836,1,-3.819,5.35741,328,1,0.877768,0.877768,0,0,0,0.201836,0,0,0,-0.675932,-0.675932,0,0,0,0.76542
"Jan 1, 10:00 am",0.588771,0.282982,0.282982,1,-3.719,5.94122,317,2,0.871753,0.871753,0,0,0,0.282982,0,0,0,-0.588771,-0.588771,0,0,0,0.763544
"Jan 1, 11:00 am",0.380071,0.502052,0.502052,1,-3.559,7.06069,319,2,0.882123,0.882123,0,0,0,0.502052,0,0,0,-0.380071,-0.380071,0,0,0,0.767
"Jan 1, 12:00 pm",0.456034,0.406565,0.406565,1,-3.359,6.65853,320,2,0.862599,0.862599,0,0,0,0.406565,0,0,0,-0.456034,-0.456034,0,0,0,0.765519
"Jan 1, 01:00 pm",0.592082,0.243542,0.243542,1,-3.319,5.65396,313,2,0.835624,0.835624,0,0,0,0.243542,0,0,0,-0.592082,-0.592082,0,0,0,0.767098
"Jan 1, 02:00 pm",0.397514,0.433843,0.433843,1,-3.259,6.77343,305,2,0.831357,0.831357,0,0,0,0.433843,0,0,0,-0.397514,-0.397514,0,0,0,0.766407
"Jan 1, 03:00 pm",0.33055,0.560995,0.560995,1,-3.359,7.30909,302,3,0.891545,0.891545,0,0,0,0.560995,0,0,0,-0.33055,-0.33055,0,0,0,0.768679
"Jan 1, 04:00 pm",0.354448,0.765142,0.765142,1,-3.659,7.91234,294,3,1.11959,1.11959,0,0,0,0.765142,0,0,0,-0.354448,-0.354448,0,0,0,0.769074
"Jan 1, 05:00 pm",0.861301,0.676809,0.676809,1,-3.349,7.68253,279,3,1.53811,1.53811,0,0,0,0.676809,0,0,0,-0.861301,-0.861301,0,0,0,0.768185
"Jan 1, 06:00 pm",1.21891,0.592881,0.592881,1,-3.039,7.45272,268,3,1.81179,1.81179,0,0,0,0.592881,0,0,0,-1.21891,-1.21891,0,0,0,0.767295
"Jan 1, 07:00 pm",1.08213,0.680688,0.680688,1,-3.759,7.67323,254,3,1.76282,1.76282,0,0,0,0.680688,0,0,0,-1.08213,-1.08213,0,0,0,0.772926
"Jan 1, 08:00 pm",0.237707,1.39727,1.39727,1,-4.499,9.22275,258,1,1.63498,1.63498,0,0,0,1.39727,0,0,0,-0.237707,-0.237707,0,0,0,0.772433
"Jan 1, 09:00 pm",0,1.49387,1.60189,1,-5.199,9.57676,256,1,1.49387,1.49387,0,0,0,1.49387,0,0,0.108025,0.108025,0.108025,0,0,0,0.773026
"Jan 1, 10:00 pm",0,1.20991,1.71242,1,-5.939,9.87331,259,1,1.20991,1.20991,0,0,0,1.20991,0,0,0.502512,0.502512,0.502512,0,0,0,0.770263
"Jan 1, 11:00 pm",0,0.922429,1.55771,1,-6.539,9.48129,253,1,0.922429,0.922429,0,0,0,0.922429,0,0,0.635277,0.635277,0.635277,0,0,0,0.772931
"Jan 2, 12:00 am",0,0.635994,1.6517,1,-7.039,9.70096,240,1,0.635994,0.635994,0,0,0,0.635994,0,0,1.01571,1.01571,1.01571,0,0,0,0.769673
"Jan 2, 01:00 am",0,0.527219,2.08416,1,-7.299,10.9734,239,1,0.527219,0.527219,0,0,0,0.527219,0,0,1.55694,1.55694,1.55694,0,0,0,0.771154
"Jan 2, 02:00 am",0,0.48514,2.04573,1,-7.499,10.8111,236,1,0.48514,0.48514,0,0,0,0.48514,0,0,1.56059,1.56059,1.56059,0,0,0,0.770365
"Jan 2, 03:00 am",0,0.48023,2.10136,1,-7.599,11.0502,235,1,0.48023,0.48023,0,0,0,0.48023,0,0,1.62113,1.62113,1.62113,0,0,0,0.769475
"Jan 2, 04:00 am",0,0.487741,2.28977,1,-7.759,12.0928,241,1,0.487741,0.487741,0,0,0,0.487741,0,0,1.80203,1.80203,1.80203,0,0,0,0.771155
"Jan 2, 05:00 am",0,0.543699,2.37299,1,-7.749,13.2317,248,1,0.543699,0.543699,0,0,0,0.543699,0,0,1.82929,1.82929,1.82929,0,0,0,0.769081
"Jan 2, 06:00 am",0,0.749608,2.4,1,-7.739,14.3605,250,1,0.749608,0.749608,0,0,0,0.749608,0,0,1.65039,1.65039,1.65039,0,0,0,0.766908
"Jan 2, 07:00 am",0,1.04256,2.37473,1,-7.899,15.7765,248,1,1.04256,1.04256,0,0,0,1.04256,0,0,1.33217,1.33217,1.33217,0,0,0,0.766514
"Jan 2, 08:00 am",0,0.975821,2.37434,1,-7.639,15.7765,245,1,0.975821,0.975821,0,0,0,0.975821,0,0,1.39852,1.39852,1.39852,0,0,0,0.769278
"Jan 2, 09:00 am",0,0.822569,2.37682,1,-6.919,15.6996,247,1,0.822569,0.822569,0,0,0,0.822569,0,0,1.55425,1.55425,1.55425,0,0,0,0.769771
"Jan 2, 10:00 am",0,0.814914,2.39687,1,-6.159,15.0111,248,2,0.814914,0.814914,0,0,0,0.814914,0,0,1.58196,1.58196,1.58196,0,0,0,0.768584
"Jan 2, 11:00 am",0,0.829634,2.4,1,-5.259,14.1501,250,2,0.829634,0.829634,0,0,0,0.829634,0,0,1.57037,1.57037,1.57037,0,0,0,0.767694
"Jan 2, 12:00 pm",0,0.814788,2.36794,1,-4.459,13.1836,249,2,0.814788,0.814788,0,0,0,0.814788,0,0,1.55315,1.55315,1.55315,0,0,0,0.768187
"Jan 2, 01:00 pm",0,0.792036,2.31704,1,-3.699,12.4663,245,2,0.792036,0.792036,0,0,0,0.792036,0,0,1.525,1.525,1.525,0,0,0,0.767198
"Jan 2, 02:00 pm",0,0.792231,2.28473,1,-3.159,12.1308,247,2,0.792231,0.792231,0,0,0,0.792231,0,0,1.4925,1.4925,1.4925,0,0,0,0.766901
"Jan 2, 03:00 pm",0,0.854486,2.30048,1,-3.159,12.2939,246,3,0.854486,0.854486,0,0,0,0.854486,0,0,1.44599,1.44599,1.44599,0,0,0,0.767888
"Jan 2, 04:00 pm",0,1.08368,2.28956,1,-3.419,12.1697,241,3,1.08368,1.08368,0,0,0,1.08368,0,0,1.20588,1.20588,1.20588,0,0,0,0.76858
"Jan 2, 05:00 pm",0,1.50276,2.31047,1,-3.049,12.3987,239,3,1.50276,1.50276,0,0,0,1.50276,0,0,0.807714,0.807714,0.807714,0,0,0,0.768579
"Jan 2, 06:00 pm",0,1.77748,2.33144,1,-2.679,12.6285,236,3,1.77748,1.77748,0,0,0,1.77748,0,0,0.553964,0.553964,0.553964,0,0,0,0.768578
"Jan 2, 07:00 pm",0,1.72857,2.39896,1,-2.839,13.8536,241,3,1.72857,1.72857,0,0,0,1.72857,0,0,0.670389,0.670389,0.670389,0,0,0,0.771442
"Jan 2, 08:00 pm",0,1.60013,2.4,1,-2.839,13.9102,238,1,1.60013,1.60013,0,0,0,1.60013,0,0,0.79987,0.79987,0.79987,0,0,0,0.771937
"Jan 2, 09:00 pm",0,1.45826,2.39954,1,-2.999,13.8721,241,1,1.45826,1.45826,0,0,0,1.45826,0,0,0.941283,0.941283,0.941283,0,0,0,0.769962
"Jan 2, 10:00 pm",0,1.18162,2.4,1,-3.059,14.5227,237,1,1.18162,1.18162,0,0,0,1.18162,0,0,1.21838,1.21838,1.21838,0,0,0,0.770752
"Jan 2, 11:00 pm",0,0.906894,2.38685,1,-3.299,15.3938,241,1,0.906894,0.906894,0,0,0,0.906894,0,0,1.47995,1.47995,1.47995,0,0,0,0.772727
"Jan 3, 12:00 am",0,0.639388,2.4,1,-3.599,14.6858,240,1,0.639388,0.639388,0,0,0,0.639388,0,0,1.76061,1.76061,1.76061,0,0,0,0.771346
"Jan 3, 01:00 am",0,0.541887,2.4,1,-3.699,14.14,238,1,0.541887,0.541887,0,0,0,0.541887,0,0,1.85811,1.85811,1.85811,0,0,0,0.771247
"Jan 3, 02:00 am",0,0.508783,2.4,1,-3.799,14.0825,241,1,0.508783,0.508783,0,0,0,0.508783,0,0,1.89122,1.89122,1.89122,0,0,0,0.77174
"Jan 3, 03:00 am",0,0.503727,2.36743,1,-3.899,13.1548,241,1,0.503727,0.503727,0,0,0,0.503727,0,0,1.8637,1.8637,1.8637,0,0,0,0.772926
"Jan 3, 04:00 am",0,0.509234,2.38398,1,-4.059,13.5088,240,1,0.509234,0.509234,0,0,0,0.509234,0,0,1.87475,1.87475,1.87475,0,0,0,0.772235
"Jan 3, 05:00 am",0,0.562795,2.37354,1,-3.379,13.3078,239,1,0.562795,0.562795,0,0,0,0.562795,0,0,1.81075,1.81075,1.81075,0,0,0,0.770456
"Jan 3, 06:00 am",0,0.754714,2.36361,1,-2.699,13.1168,237,1,0.754714,0.754714,0,0,0,0.754714,0,0,1.60889,1.60889,1.60889,0,0,0,0.768677
"Jan 3, 07:00 am",0,1.06187,2.38422,1,-3.299,13.5469,243,1,1.06187,1.06187,0,0,0,1.06187,0,0,1.32235,1.32235,1.32235,0,0,0,0.768777
"Jan 3, 08:00 am",0,0.988258,2.36308,1,-3.539,13.078,244,1,0.988258,0.988258,0,0,0,0.988258,0,0,1.37482,1.37482,1.37482,0,0,0,0.771147
"Jan 3, 09:00 am",0,0.826397,2.38718,1,-2.879,13.6136,244,1,0.826397,0.826397,0,0,0,0.826397,0,0,1.56078,1.56078,1.56078,0,0,0,0.769369
"Jan 3, 10:00 am",0,0.819111,2.38047,1,-2.019,13.4996,249,2,0.819111,0.819111,0,0,0,0.819111,0,0,1.56136,1.56136,1.56136,0,0,0,0.7668
"Jan 3, 11:00 am",0,0.829634,2.39788,1,-1.259,13.8721,257,2,0.829634,0.829634,0,0,0,0.829634,0,0,1.56824,1.56824,1.56824,0,0,0,0.768971
"Jan 3, 12:00 pm",0,0.814788,2.37166,1,-0.459,13.3272,259,2,0.814788,0.814788,0,0,0,0.814788,0,0,1.55687,1.55687,1.55687,0,0,0,0.768377
"Jan 3, 01:00 pm",0,0.792036,2.33907,1,0.281,12.7628,256,2,0.792036,0.792036,0,0,0,0.792036,0,0,1.54704,1.54704,1.54704,0,0,0,0.767389
"Jan 3, 02:00 pm",0,0.792231,2.36389,1,0.681,13.1836,251,2,0.792231,0.792231,0,0,0,0.792231,0,0,1.57166,1.57166,1.57166,0,0,0,0.767586
"Jan 3, 03:00 pm",0,0.854486,2.3815,1,0.681,13.557,254,3,0.854486,0.854486,0,0,0,0.854486,0,0,1.52701,1.52701,1.52701,0,0,0,0.768375
"Jan 3, 04:00 pm",0,1.08368,2.35129,1,0.221,12.8963,255,3,1.08368,1.08368,0,0,0,1.08368,0,0,1.26761,1.26761,1.26761,0,0,0,0.769265
"Jan 3, 05:00 pm",0,1.50276,2.38379,1,0.911,13.6136,248,3,1.50276,1.50276,0,0,0,1.50276,0,0,0.881032,0.881032,0.881032,0,0,0,0.767783
"Jan 3, 06:00 pm",0,1.77748,2.4,1,1.601,14.3216,246,3,1.77748,1.77748,0,0,0,1.77748,0,0,0.62252,0.62252,0.62252,0,0,0,0.766399
"Jan 3, 07:00 pm",0,1.72857,2.4,1,0.941,14.5616,249,3,1.72857,1.72857,0,0,0,1.72857,0,0,0.67143,0.67143,0.67143,0,0,0,0.768671
"Jan 3, 08:00 pm",0,1.60013,2.37807,1,0.601,15.7951,250,1,1.60013,1.60013,0,0,0,1.60013,0,0,0.777944,0.777944,0.777944,0,0,0,0.770647
"Jan 3, 09:00 pm",0,1.45826,2.4,1,0.241,14.7331,255,1,1.45826,1.45826,0,0,0,1.45826,0,0,0.94174,0.94174,0.94174,0,0,0,0.769561
"Jan 3, 10:00 pm",0,1.18162,2.35275,1,-0.259,12.9157,265,1,1.18162,1.18162,0,0,0,1.18162,0,0,1.17113,1.17113,1.17113,0,0,0,0.770056
"Jan 3, 11:00 pm",0,0.906894,2.28142,1,-0.899,12.1021,268,1,0.906894,0.906894,0,0,0,0.906894,0,0,1.37452,1.37452,1.37452,0,0,0,0.772032
"Jan 4, 12:00 am",0,0.640133,2.25187,1,-1.499,11.787,265,1,0.640133,0.640133,0,0,0,0.640133,0,0,1.61174,1.61174,1.61174,0,0,0,0.770156
"Jan 4, 01:00 am",0,0.543341,1.98944,1,-2.039,10.6574,264,1,0.543341,0.543341,0,0,0,0.543341,0,0,1.4461,1.4461,1.4461,0,0,0,0.771145
"Jan 4, 02:00 am",0,0.512715,1.54044,1,-2.499,9.51001,262,1,0.512715,0.512715,0,0,0,0.512715,0,0,1.02772,1.02772,1.02772,0,0,0,0.77006
"Jan 4, 03:00 am",0,0.512022,1.1627,1,-2.899,8.83072,263,1,0.512022,0.512022,0,0,0,0.512022,0,0,0.650674,0.650674,0.650674,0,0,0,0.770653
"Jan 4, 04:00 am",0,0.520325,1.02325,1,-3.259,8.57219,262,1,0.520325,0.520325,0,0,0,0.520325,0,0,0.502925,0.502925,0.502925,0,0,0,0.772431
"Jan 4, 05:00 am",0,0.5755,1.0589,1,-2.579,8.64908,263,1,0.5755,0.5755,0,0,0,0.5755,0,0,0.483401,0.483401,0.483401,0,0,0,0.770751
"Jan 4, 06:00 am",0,0.796508,1.09896,1,-1.899,8.73441,258,1,0.796508,0.796508,0,0,0,0.796508,0,0,0.302454,0.302454,0.302454,0,0,0,0.768972
"Jan 4, 07:00 am",0,1.064,1.72189,1,-2.359,9.9502,258,1,1.064,1.064,0,0,0,1.064,0,0,0.657893,0.657893,0.657893,0,0,0,0.76848
"Jan 4, 08:00 am",0,0.998188,1.9381,1,-2.439,10.5146,256,1,0.998188,0.998188,0,0,0,0.998188,0,0,0.939912,0.939912,0.939912,0,0,0,0.771244
"Jan 4, 09:00 am",0,0.839782,1.94308,1,-1.979,10.5433,256,1,0.839782,0.839782,0,0,0,0.839782,0,0,1.1033,1.1033,1.1033,0,0,0,0.76917
"Jan 4, 10:00 am",0,0.83699,1.64361,1,-1.319,9.75841,262,2,0.83699,0.83699,0,0,0,0.83699,0,0,0.806625,0.806625,0.806625,0,0,0,0.767292
"Jan 4, 11:00 am",0,0.829634,1.58231,1,-1.019,9.61478,267,2,0.829634,0.829634,0,0,0,0.829634,0,0,0.752673,0.752673,0.752673,0,0,0,0.766996
"Jan 4, 12:00 pm",0,0.814788,1.64047,1,-0.719,9.75841,265,2,0.814788,0.814788,0,0,0,0.814788,0,0,0.82568,0.82568,0.82568,0,0,0,0.766995
"Jan 4, 01:00 pm",0,0.792036,1.61701,1,-0.519,9.69166,263,2,0.792036,0.792036,0,0,0,0.792036,0,0,0.824973,0.824973,0.824973,0,0,0,0.768477
"Jan 4, 02:00 pm",0,0.792231,1.33083,1,-0.319,9.17459,261,2,0.792231,0.792231,0,0,0,0.792231,0,0,0.538602,0.538602,0.538602,0,0,0,0.766698
"Jan 4, 03:00 pm",0,0.854486,1.34932,1,-0.119,9.21346,256,3,0.854486,0.854486,0,0,0,0.854486,0,0,0.494831,0.494831,0.494831,0,0,0,0.765809
"Jan 4, 04:00 pm",0,1.08368,1.52748,1,-0.079,9.5286,250,3,1.08368,1.08368,0,0,0,1.08368,0,0,0.443795,0.443795,0.443795,0,0,0,0.766797
"Jan 4, 05:00 pm",0,1.50276,1.78053,1,0.831,10.1504,255,3,1.50276,1.50276,0,0,0,1.50276,0,0,0.277772,0.277772,0.277772,0,0,0,0.767586
"Jan 4, 06:00 pm",0,1.77748,2.00556,1,1.741,10.7723,246,3,1.77748,1.77748,0,0,0,1.77748,0,0,0.228084,0.228084,0.228084,0,0,0,0.768275
"Jan 4, 07:00 pm",0,1.72857,2.16452,1,1.481,11.4423,248,3,1.72857,1.72857,0,0,0,1.72857,0,0,0.435949,0.435949,0.435949,0,0,0,0.77025
"Jan 4, 08:00 pm",0,1.60013,2.27047,1,1.241,12.0261,245,1,1.60013,1.60013,0,0,0,1.60013,0,0,0.670337,0.670337,0.670337,0,0,0,0.770153
"Jan 4, 09:00 pm",0,1.45826,2.36298,1,1.181,13.1641,245,1,1.45826,1.45826,0,0,0,1.45826,0,0,0.90472,0.90472,0.90472,0,0,0,0.768967
"Jan 4, 10:00 pm",0,1.18162,2.32941,1,1.281,12.6572,247,1,1.18162,1.18162,0,0,0,1.18162,0,0,1.14779,1.14779,1.14779,0,0,0,0.770547
"Jan 4, 11:00 pm",0,0.906894,2.31216,1,1.041,12.4663,248,1,0.906894,0.906894,0,0,0,0.906894,0,0,1.40526,1.40526,1.40526,0,0,0,0.770942
"Jan 5, 12:00 am",0,0.636469,2.34231,1,0.701,12.8008,249,1,0.636469,0.636469,0,0,0,0.636469,0,0,1.70584,1.70584,1.70584,0,0,0,0.76798
"Jan 5, 01:00 am",0,0.53964,2.24796,1,-0.519,11.787,250,1,0.53964,0.53964,0,0,0,0.53964,0,0,1.70832,1.70832,1.70832,0,0,0,0.767291
"Jan 5, 02:00 am",0,0.511875,2.08229,1,-1.319,11.0688,251,1,0.511875,0.511875,0,0,0,0.511875,0,0,1.57041,1.57041,1.57041,0,0,0,0.766602
"Jan 5, 03:00 am",0,0.513912,1.73006,1,-1.319,9.98822,253,1,0.513912,0.513912,0,0,0,0.513912,0,0,1.21615,1.21615,1.21615,0,0,0,0.767687
"Jan 5, 04:00 am",0,0.519185,1.83651,1,-1.319,10.2755,256,1,0.519185,0.519185,0,0,0,0.519185,0,0,1.31733,1.31733,1.31733,0,0,0,0.767194
"Jan 5, 05:00 am",0,0.577349,1.31536,1,-0.379,9.14587,256,1,0.577349,0.577349,0,0,0,0.577349,0,0,0.738013,0.738013,0.738013,0,0,0,0.766797
"Jan 5, 06:00 am",0.0101287,0.788877,0.788877,1,0.561,8.0264,248,1,0.799006,0.799006,0,0,0,0.788877,0,0,0,-0.0101287,-0.0101287,0,0,0,0.766401
"Jan 5, 07:00 am",0,1.06833,1.41138,1,0.321,9.32752,252,1,1.06833,1.06833,0,0,0,1.06833,0,0,0.343055,0.343055,0.343055,0,0,0,0.766302
"Jan 5, 08:00 am",0,0.998438,1.35289,1,0.121,9.21346,253,1,0.998438,0.998438,0,0,0,0.998438,0,0,0.354454,0.354454,0.354454,0,0,0,0.76808
"Jan 5, 09:00 am",0.0642815,0.774979,0.774979,1,-0.359,7.97908,257,1,0.839261,0.839261,0,0,0,0.774979,0,0,0,-0.0642815,-0.0642815,0,0,0,0.766698
"Jan 5, 10:00 am",0.526151,0.304988,0.304988,1,-1.359,6.11358,257,2,0.831139,0.831139,0,0,0,0.304988,0,0,0,-0.526151,-0.526151,0,0,0,0.764428
"Jan 5, 11:00 am",0.753175,0.0764585,0.0764585,1,-1.419,4.23794,263,2,0.829634,0.829634,0,0,0,0.0764585,0,0,0,-0.753175,-0.753175,0,0,0,0.766898
"Jan 5, 12:00 pm",0.814788,0,0,1,-1.119,2.7746,268,2,0.814788,0.814788,0,0,0,0,0,0,0,-0.814788,-0.814788,0,0,0,0.765219
"Jan 5, 01:00 pm",0.792036,0,0,1,-0.359,1.03329,311,2,0.792036,0.792036,0,0,0,0,0,0,0,-0.792036,-0.792036,0,0,0,0.764822
"Jan 5, 02:00 pm",0.792231,0,0,1,0.081,2.87007,13,2,0.792231,0.792231,0,0,0,0,0,0,0,-0.792231,-0.792231,0,0,0,0.766896
"Jan 5, 03:00 pm",0.621825,0.232661,0.232661,1,0.341,5.59651,25,3,0.854486,0.854486,0,0,0,0.232661,0,0,0,-0.621825,-0.621825,0,0,0,0.769167
"Jan 5, 04:00 pm",0.60968,0.474,0.474,1,0.241,6.96522,31,3,1.08368,1.08368,0,0,0,0.474,0,0,0,-0.60968,-0.60968,0,0,0,0.76966
"Jan 5, 05:00 pm",1.23625,0.266508,0.266508,1,0.281,5.83561,30,3,1.50276,1.50276,0,0,0,0.266508,0,0,0,-1.23625,-1.23625,0,0,0,0.770153
"Jan 5, 06:00 pm",1.6494,0.128081,0.128081,1,0.321,4.71699,49,3,1.77748,1.77748,0,0,0,0.128081,0,0,0,-1.6494,-1.6494,0,0,0,0.770647
"Jan 5, 07:00 pm",1.56721,0.161358,0.161358,1,-0.019,5.0034,38,3,1.72857,1.72857,0,0,0,0.161358,0,0,0,-1.56721,-1.56721,0,0,0,0.774696
"Jan 5, 08:00 pm",1.53451,0.065619,0.065619,1,-0.319,4.08501,38,1,1.60013,1.60013,0,0,0,0.065619,0,0,0,-1.53451,-1.53451,0,0,0,0.774401
"Jan 5, 09:00 pm",1.40246,0.0558033,0.0558033,1,-0.619,3.95152,25,1,1.45826,1.45826,0,0,0,0.0558033,0,0,0,-1.40246,-1.40246,0,0,0,0.774896
"Jan 5, 10:00 pm",1.12572,0.0558993,0.0558993,1,-0.919,3.95152,30,1,1.18162,1.18162,0,0,0,0.0558993,0,0,0,-1.12572,-1.12572,0,0,0,0.774797
"Jan 5, 11:00 pm",0.906894,0,0,1,-1.119,2.97568,47,1,0.906894,0.906894,0,0,0,0,0,0,0,-0.906894,-0.906894,0,0,0,0.777858
"Jan 6, 12:00 am",0.642095,0,0,1,-1.219,1.08145,82,1,0.642095,0.642095,0,0,0,0,0,0,0,-0.642095,-0.642095,0,0,0,0.777957
"Jan 6, 01:00 am",0.548369,0,0,1,-1.219,1.76074,144,1,0.548369,0.548369,0,0,0,0,0,0,0,-0.548369,-0.548369,0,0,0,0.774995
"Jan 6, 02:00 am",0.520066,0,0,1,-1.219,0.87023,178,1,0.520066,0.520066,0,0,0,0,0,0,0,-0.520066,-0.520066,0,0,0,0.774402
"Jan 6, 03:00 am",0.517521,0,0,1,-1.119,0.526363,136,1,0.517521,0.517521,0,0,0,0,0,0,0,-0.517521,-0.517521,0,0,0,0.776278
"Jan 6, 04:00 am",0.527524,0,0,1,-1.119,0.659854,296,1,0.527524,0.527524,0,0,0,0,0,0,0,-0.527524,-0.527524,0,0,0,0.77697
"Jan 6, 05:00 am",0.586116,0,0,1,-1.459,1.18622,272,1,0.586116,0.586116,0,0,0,0,0,0,0,-0.586116,-0.586116,0,0,0,0.775489
"Jan 6, 06:00 am",0.780049,0,0,1,-1.799,1.70329,271,1,0.780049,0.780049,0,0,0,0,0,0,0,-0.780049,-0.780049,0,0,0,0.774008
"Jan 6, 07:00 am",1.09712,0,0,1,-2.019,2.2288,248,1,1.09712,1.09712,0,0,0,0,0,0,0,-1.09712,-1.09712,0,0,0,0.776478
"Jan 6, 08:00 am",0.996796,0.0267639,0.0267639,1,-2.259,3.54936,237,1,1.02356,1.02356,0,0,0,0.0267639,0,0,0,-0.996796,-0.996796,0,0,0,0.779539
"Jan 6, 09:00 am",0.80989,0.0487339,0.0487339,1,-2.119,3.84591,255,1,0.858624,0.858624,0,0,0,0.0487339,0,0,0,-0.80989,-0.80989,0,0,0,0.777367
"Jan 6, 10:00 am",0.835063,0.0157604,0.0157604,1,-1.559,3.41587,265,1,0.850823,0.850823,0,0,0,0.0157604,0,0,0,-0.835063,-0.835063,0,0,0,0.772724
"Jan 6, 11:00 am",0.750812,0.0788223,0.0788223,1,-0.659,4.25737,252,1,0.829634,0.829634,0,0,0,0.0788223,0,0,0,-0.750812,-0.750812,0,0,0,0.775685
"Jan 6, 12:00 pm",0.588639,0.226148,0.226148,1,0.341,5.53906,266,1,0.814788,0.814788,0,0,0,0.226148,0,0,0,-0.588639,-0.588639,0,0,0,0.773708
"Jan 6, 01:00 pm",0.531556,0.26048,0.26048,1,0.941,5.7883,266,1,0.792036,0.792036,0,0,0,0.26048,0,0,0,-0.531556,-0.531556,0,0,0,0.773707
"Jan 6, 02:00 pm",0.520334,0.271897,0.271897,1,1.381,5.87448,268,1,0.792231,0.792231,0,0,0,0.271897,0,0,0,-0.520334,-0.520334,0,0,0,0.773114
"Jan 6, 03:00 pm",0.575295,0.279191,0.279191,1,1.481,5.92179,267,1,0.854486,0.854486,0,0,0,0.279191,0,0,0,-0.575295,-0.575295,0,0,0,0.775286
"Jan 6, 04:00 pm",0.83155,0.25213,0.25213,1,1.281,5.72155,259,1,1.08368,1.08368,0,0,0,0.25213,0,0,0,-0.83155,-0.83155,0,0,0,0.777558
"Jan 6, 05:00 pm",1.31281,0.189949,0.189949,1,0.941,5.26194,264,1,1.50276,1.50276,0,0,0,0.189949,0,0,0,-1.31281,-1.31281,0,0,0,0.775781
"Jan 6, 06:00 pm",1.63809,0.139389,0.139389,1,0.601,4.81246,250,1,1.77748,1.77748,0,0,0,0.139389,0,0,0,-1.63809,-1.63809,0,0,0,0.774103
"Jan 6, 07:00 pm",1.3875,0.341069,0.341069,1,0.301,6.35268,240,1,1.72857,1.72857,0,0,0,0.341069,0,0,0,-1.3875,-1.3875,0,0,0,0.77598
"Jan 6, 08:00 pm",0.587734,1.0124,1.0124,1,0.041,8.5629,234,1,1.60013,1.60013,0,0,0,1.0124,0,0,0,-0.587734,-0.587734,0,0,0,0.77914
"Jan 6, 09:00 pm",0.193222,1.26504,1.26504,1,0.001,9.01237,230,1,1.45826,1.45826,0,0,0,1.26504,0,0,0,-0.193222,-0.193222,0,0,0,0.779042
"Jan 6, 10:00 pm",0,1.18162,1.25518,1,-0.019,9.00224,237,1,1.18162,1.18162,0,0,0,1.18162,0,0,0.0735645,0.0735645,0.0735645,0,0,0,0.777067
"Jan 6, 11:00 pm",0,0.906894,1.30823,1,-0.419,9.08842,249,1,0.906894,0.906894,0,0,0,0.906894,0,0,0.40134,0.40134,0.40134,0,0,0,0.778055
"Jan 7, 12:00 am",0,0.644988,1.54315,1,-0.839,9.49987,248,1,0.644988,0.644988,0,0,0,0.644988,0,0,0.89816,0.89816,0.89816,0,0,0,0.778451
